# post2-lite aero table v1
# reference_area_m2,19.635
mach,alpha_deg,cd,cl
0.000000,0.000000,0.015291,0.000000
0.000000,2.000000,0.017758,0.070389
0.000000,4.000000,0.025299,0.142588
0.000000,6.000000,0.038074,0.215966
0.000000,8.000000,0.056180,0.289876
0.000000,10.000000,0.079650,0.363660
0.000000,15.000000,0.161398,0.543265
0.000000,20.000000,0.273949,0.707961
0.200000,0.000000,0.013646,0.000000
0.200000,2.000000,0.016165,0.071884
0.200000,4.000000,0.023858,0.145566
0.200000,6.000000,0.036887,0.220402
0.200000,8.000000,0.055343,0.295733
0.200000,10.000000,0.079255,0.370891
0.200000,15.000000,0.162478,0.553650
0.200000,20.000000,0.276937,0.720979
0.400000,0.000000,0.013003,0.000000
0.400000,2.000000,0.015693,0.076819
0.400000,4.000000,0.023901,0.155394
0.400000,6.000000,0.037778,0.235040
0.400000,8.000000,0.057409,0.315057
0.400000,10.000000,0.082806,0.394739
0.400000,15.000000,0.170975,0.587850
0.400000,20.000000,0.291824,0.763763
0.600000,0.000000,0.012666,0.000000
0.600000,2.000000,0.015743,0.087909
0.600000,4.000000,0.025107,0.177480
0.600000,6.000000,0.040897,0.267934
0.600000,8.000000,0.063171,0.358480
0.600000,10.000000,0.091913,0.448322
0.600000,15.000000,0.191215,0.664686
0.600000,20.000000,0.326444,0.859864
0.700000,0.000000,0.012537,0.000000
0.700000,2.000000,0.015981,0.098390
0.700000,4.000000,0.026438,0.198353
0.700000,6.000000,0.044035,0.299021
0.700000,8.000000,0.068809,0.399517
0.700000,10.000000,0.100711,0.498962
0.700000,15.000000,0.210538,0.737299
0.700000,20.000000,0.359361,0.950681
0.800000,0.000000,0.012421,0.000000
0.800000,2.000000,0.015934,0.100367
0.800000,4.000000,0.026597,0.202289
0.800000,6.000000,0.044534,0.304883
0.800000,8.000000,0.069779,0.407256
0.800000,10.000000,0.102277,0.508512
0.800000,15.000000,0.214087,0.750992
0.800000,20.000000,0.365472,0.967809
0.850000,0.000000,0.132799,0.000000
0.850000,2.000000,0.136238,0.096166
0.850000,4.000000,0.146682,0.193892
0.850000,6.000000,0.164252,0.292300
0.850000,8.000000,0.188986,0.390502
0.850000,10.000000,0.220826,0.487608
0.850000,15.000000,0.330363,0.719836
0.850000,20.000000,0.478590,0.926637
0.900000,0.000000,0.248564,0.000000
0.900000,2.000000,0.251932,0.092126
0.900000,4.000000,0.262164,0.185816
0.900000,6.000000,0.279383,0.280199
0.900000,8.000000,0.303624,0.374391
0.900000,10.000000,0.334832,0.467506
0.900000,15.000000,0.442183,0.689874
0.900000,20.000000,0.587373,0.887044
0.950000,0.000000,0.355277,0.000000
0.950000,2.000000,0.358581,0.088401
0.950000,4.000000,0.368618,0.178372
0.950000,6.000000,0.385512,0.269045
0.950000,8.000000,0.409299,0.359539
0.950000,10.000000,0.439924,0.448976
0.950000,15.000000,0.545260,0.662255
0.950000,20.000000,0.687651,0.850545
1.000000,0.000000,0.448850,0.000000
1.000000,2.000000,0.451053,0.055258
1.000000,4.000000,0.457802,0.112345
1.000000,6.000000,0.469258,0.170647
1.000000,8.000000,0.485520,0.229536
1.000000,10.000000,0.506622,0.288374
1.000000,15.000000,0.580184,0.431052
1.000000,20.000000,0.681361,0.559675
1.050000,0.000000,0.525686,0.000000
1.050000,2.000000,0.527843,0.052577
1.050000,4.000000,0.534451,0.106985
1.050000,6.000000,0.545673,0.162615
1.050000,8.000000,0.561609,0.218842
1.050000,10.000000,0.582291,0.275031
1.050000,15.000000,0.654402,0.411165
1.050000,20.000000,0.753563,0.533395
1.100000,0.000000,0.582855,0.000000
1.100000,2.000000,0.584976,0.050582
1.100000,4.000000,0.591480,0.102997
1.100000,6.000000,0.602529,0.156639
1.100000,8.000000,0.618221,0.210886
1.100000,10.000000,0.638591,0.265104
1.100000,15.000000,0.709622,0.396369
1.100000,20.000000,0.807284,0.513842
1.200000,0.000000,0.630285,0.000000
1.200000,2.000000,0.632377,0.048926
1.200000,4.000000,0.638795,0.099688
1.200000,6.000000,0.649699,0.151682
1.200000,8.000000,0.665189,0.204285
1.200000,10.000000,0.685300,0.256868
1.200000,15.000000,0.755436,0.384093
1.200000,20.000000,0.851854,0.497620
1.300000,0.000000,0.505451,0.000000
1.300000,2.000000,0.507620,0.053283
1.300000,4.000000,0.514265,0.108396
1.300000,6.000000,0.525549,0.164730
1.300000,8.000000,0.541571,0.221658
1.300000,10.000000,0.562364,0.278545
1.300000,15.000000,0.634856,0.416403
1.300000,20.000000,0.734549,0.540316
1.500000,0.000000,0.377745,0.000000
1.500000,2.000000,0.379992,0.057740
1.500000,4.000000,0.386870,0.117305
1.500000,6.000000,0.398543,0.178079
1.500000,8.000000,0.415107,0.239432
1.500000,10.000000,0.436598,0.300721
1.500000,15.000000,0.511502,0.449455
1.500000,20.000000,0.614544,0.583994
1.750000,0.000000,0.295562,0.000000
1.750000,2.000000,0.297859,0.060608
1.750000,4.000000,0.304887,0.123037
1.750000,6.000000,0.316810,0.186670
1.750000,8.000000,0.333724,0.250869
1.750000,10.000000,0.355663,0.314992
1.750000,15.000000,0.432119,0.470726
1.750000,20.000000,0.537317,0.612102
2.000000,0.000000,0.245977,0.000000
2.000000,2.000000,0.248304,0.062338
2.000000,4.000000,0.255424,0.126496
2.000000,6.000000,0.267497,0.191853
2.000000,8.000000,0.284622,0.257770
2.000000,10.000000,0.306832,0.323602
2.000000,15.000000,0.384224,0.483559
2.000000,20.000000,0.490723,0.629061
2.500000,0.000000,0.186935,0.000000
2.500000,2.000000,0.189298,0.064399
2.500000,4.000000,0.196525,0.130615
2.500000,6.000000,0.208778,0.198024
2.500000,8.000000,0.226154,0.265987
2.500000,10.000000,0.248686,0.333855
2.500000,15.000000,0.327193,0.498841
2.500000,20.000000,0.435241,0.649255
3.000000,0.000000,0.152015,0.000000
3.000000,2.000000,0.154399,0.065618
3.000000,4.000000,0.161690,0.133051
3.000000,6.000000,0.174049,0.201675
3.000000,8.000000,0.191574,0.270847
3.000000,10.000000,0.214297,0.339918
3.000000,15.000000,0.293463,0.507879
3.000000,20.000000,0.402427,0.661198
3.500000,0.000000,0.128632,0.000000
3.500000,2.000000,0.131030,0.066434
3.500000,4.000000,0.138364,0.134682
3.500000,6.000000,0.150794,0.204119
3.500000,8.000000,0.168419,0.274102
3.500000,10.000000,0.191269,0.343979
3.500000,15.000000,0.270877,0.513931
3.500000,20.000000,0.380455,0.669196
4.000000,0.000000,0.111740,0.000000
4.000000,2.000000,0.114148,0.067023
4.000000,4.000000,0.121513,0.135860
4.000000,6.000000,0.133994,0.205884
4.000000,8.000000,0.151691,0.276453
4.000000,10.000000,0.174633,0.346912
4.000000,15.000000,0.254560,0.518303
4.000000,20.000000,0.364581,0.674973
5.000000,0.000000,0.088765,0.000000
5.000000,2.000000,0.091188,0.067825
5.000000,4.000000,0.098594,0.137463
5.000000,6.000000,0.111146,0.208286
5.000000,8.000000,0.128940,0.279650
5.000000,10.000000,0.152008,0.350902
5.000000,15.000000,0.232369,0.524249
5.000000,20.000000,0.342992,0.682831
6.000000,0.000000,0.073942,0.000000
6.000000,2.000000,0.076374,0.068342
6.000000,4.000000,0.083807,0.138497
6.000000,6.000000,0.096404,0.209835
6.000000,8.000000,0.114261,0.281713
6.000000,10.000000,0.137410,0.353476
6.000000,15.000000,0.218050,0.528085
6.000000,20.000000,0.329063,0.687901
8.000000,0.000000,0.055535,0.000000
8.000000,2.000000,0.057977,0.068985
8.000000,4.000000,0.065445,0.139781
8.000000,6.000000,0.078097,0.211759
8.000000,8.000000,0.096033,0.284275
8.000000,10.000000,0.119282,0.356672
8.000000,15.000000,0.200270,0.532850
8.000000,20.000000,0.311766,0.694196
