# post2-lite aero table v1
# reference_area_m2,10.1788
mach,alpha_deg,cd,cl
0.000000,0.000000,0.099567,0.000000
0.000000,2.000000,0.102363,0.078328
0.000000,4.000000,0.112404,0.180096
0.000000,6.000000,0.132097,0.304282
0.000000,8.000000,0.163731,0.449586
0.000000,10.000000,0.209447,0.614449
0.000000,15.000000,0.397768,1.099793
0.000000,20.000000,0.710746,1.661645
0.200000,0.000000,0.084531,0.000000
0.200000,2.000000,0.087387,0.080290
0.200000,4.000000,0.097605,0.184008
0.200000,6.000000,0.117591,0.310117
0.200000,8.000000,0.149632,0.457307
0.200000,10.000000,0.195864,0.624006
0.200000,15.000000,0.385913,1.113644
0.200000,20.000000,0.701151,1.679243
0.400000,0.000000,0.078449,0.000000
0.400000,2.000000,0.081479,0.085415
0.400000,4.000000,0.092221,0.194216
0.400000,6.000000,0.113074,0.325324
0.400000,8.000000,0.146312,0.477388
0.400000,10.000000,0.194059,0.648798
0.400000,15.000000,0.389157,1.149252
0.400000,20.000000,0.710927,1.723888
0.600000,0.000000,0.075163,0.000000
0.600000,2.000000,0.078582,0.096608
0.600000,4.000000,0.090486,0.216507
0.600000,6.000000,0.113259,0.358526
0.600000,8.000000,0.149154,0.521221
0.600000,10.000000,0.200261,0.702893
0.600000,15.000000,0.406548,1.226850
0.600000,20.000000,0.742776,1.820998
0.700000,0.000000,0.073878,0.000000
0.700000,2.000000,0.077664,0.107129
0.700000,4.000000,0.090663,0.237461
0.700000,6.000000,0.115248,0.389734
0.700000,8.000000,0.153647,0.562420
0.700000,10.000000,0.207921,0.753734
0.700000,15.000000,0.424754,1.299763
0.700000,20.000000,0.774607,1.912210
0.800000,0.000000,0.072704,0.000000
0.800000,2.000000,0.076560,0.109143
0.800000,4.000000,0.089767,0.241470
0.800000,6.000000,0.114695,0.395707
0.800000,8.000000,0.153570,0.570305
0.800000,10.000000,0.208446,0.763467
0.800000,15.000000,0.427282,1.313730
0.800000,20.000000,0.779723,1.929700
0.850000,0.000000,0.108629,0.000000
0.850000,2.000000,0.112463,0.107889
0.850000,4.000000,0.125604,0.238964
0.850000,6.000000,0.150423,0.391951
0.850000,8.000000,0.189145,0.565306
0.850000,10.000000,0.243824,0.757229
0.850000,15.000000,0.461982,1.304432
0.850000,20.000000,0.813481,1.917413
0.900000,0.000000,0.143194,0.000000
0.900000,2.000000,0.147007,0.106683
0.900000,4.000000,0.160085,0.236553
0.900000,6.000000,0.184799,0.388338
0.900000,8.000000,0.223374,0.560495
0.900000,10.000000,0.277865,0.751227
0.900000,15.000000,0.495370,1.295486
0.900000,20.000000,0.845962,1.905591
0.950000,0.000000,0.175076,0.000000
0.950000,2.000000,0.178869,0.105570
0.950000,4.000000,0.191889,0.234329
0.950000,6.000000,0.216506,0.385006
0.950000,8.000000,0.254945,0.556058
0.950000,10.000000,0.309262,0.745690
0.950000,15.000000,0.526165,1.287234
0.950000,20.000000,0.875922,1.894687
1.000000,0.000000,0.203055,0.000000
1.000000,2.000000,0.205788,0.074716
1.000000,4.000000,0.215639,0.172877
1.000000,6.000000,0.235018,0.293464
1.000000,8.000000,0.266211,0.435183
1.000000,10.000000,0.311363,0.596479
1.000000,15.000000,0.497730,1.073009
1.000000,20.000000,0.807993,1.626250
1.050000,0.000000,0.225961,0.000000
1.050000,2.000000,0.228680,0.073917
1.050000,4.000000,0.238490,0.171279
1.050000,6.000000,0.257798,0.291070
1.050000,8.000000,0.288895,0.431995
1.050000,10.000000,0.333921,0.592501
1.050000,15.000000,0.519855,1.067080
1.050000,20.000000,0.829518,1.618416
1.100000,0.000000,0.243017,0.000000
1.100000,2.000000,0.245726,0.073321
1.100000,4.000000,0.255504,0.170090
1.100000,6.000000,0.274761,0.289287
1.100000,8.000000,0.305785,0.429622
1.100000,10.000000,0.350718,0.589539
