time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,altitude_m,speed_mps,total_mass_kg,propellant_mass_kg,engine_thrust_n,engine_mass_flow_kgps,throttle,engine_direction_eci_x,engine_direction_eci_y,engine_direction_eci_z,ambient_pressure_pa,atmosphere_density_kgpm3,dynamic_pressure_pa,mach_number,hold_down_clamp_active,phase_index,rigid_body_attitude_rad,rigid_body_angular_velocity_radps,rigid_body_moment_of_inertia_kgm2,phase_name
468.4082125447452,-4778006.5601806967,-2987283.0716145732,2993573.7347354987,352.52362836637144,-175.7702437838397,-98.99501906238099,7394.7749146490696,406.16265332448182,12759.908445373905,2991.6887826600864,0,0,0,-0.56477398798529244,-0.71397501750800407,0.41384781849084856,27291.875895589772,0.42348949772328509,12227.812836919711,0.80003442982489104,0,4,0,0,0,booster entry burn
468.52808179511447,-4777964.3904599128,-2987304.1224557012,2993561.9174170876,351.07500102727755,-175.46206951104739,-98.173935716012295,7367.5123256185179,404.57226281268254,12759.908445373905,2991.6887826600864,0,0,0,-0.56047894144692922,-0.71844272721566405,0.41195072994892068,27404.952040358316,0.42490970972056397,12174.280857334092,0.79663267401910376,0,4,0,0,0,booster entry burn
468.62647614849948,-4777929.9041592637,-2987321.3748384626,2993552.2916803858,349.90899775808043,-175.21768746571396,-97.480811945792766,7345.2526812677306,403.28656487726931,12759.908445373905,2991.6887826600864,0,0,0,-0.55659293966550216,-0.72250139594876217,0.41011709592091478,27497.559718232078,0.42607201179244197,12130.554121145598,0.79386055407862965,0,4,0,0,0,booster entry burn
468.70561964834934,-4777902.2474854067,-2987335.2345551704,2993544.5995942452,348.99281474119061,-175.02588391987928,-96.900520333910663,7327.4255549538084,402.26826325711636,12759.908445373905,2991.6887826600864,0,0,0,-0.55346567340096298,-0.72580528105372888,0.40851247515998379,27571.909901305142,0.42700462840374154,12095.521961632538,0.7916438857303475,0,4,0,0,0,booster entry burn
468.76753686428583,-4777880.6604218148,-2987346.0670852941,2993538.6145597128,348.2972979735701,-174.87827522916129,-96.421023378395532,7313.526601414289,401.48528325724874,12759.908445373905,2991.6887826600864,0,0,0,-0.55101941754079364,-0.7284480156310249,0.40711311697884023,27629.990475975606,0.42773283318677258,12068.201407906929,0.7899177760709446,0,4,0,0,0,booster entry burn
468.81516567836371,-4777864.0837068548,-2987354.3936540335,2993534.0315221632,347.78412280032984,-174.76623394593511,-96.024671409981224,7302.8635691064837,400.89620866133805,12759.908445373905,2991.6887826600864,0,0,0,-0.54918172159220868,-0.73050843450019254,0.40590252991709203,27674.616278357411,0.42829214637159341,12047.237382486615,0.78859480179690666,0,4,0,0,0,booster entry burn
468.85144038283028,-4777851.4746463746,-2987360.7317269919,2993530.554205874,347.41665176844771,-174.68272556714632,-95.69408910641387,7294.7589987727379,400.46191233058869,12759.908445373905,2991.6887826600864,0,0,0,-0.54785244000031819,-0.73208891137520382,0.40485000904923646,27708.573877606617,0.42871763569382088,12031.301507327807,0.78759000912628563,0,4,0,0,0,booster entry burn
468.87903602153114,-4777841.8909967886,-2987365.551372021,2993527.9173025871,347.16292257332503,-174.62257664179023,-95.413542388203098,7288.6029985849345,400.14857634850557,12759.908445373905,2991.6887826600864,0,0,0,-0.54693434827652188,-0.73328599590453003,0.40392383797646569,27734.38975599072,0.42904104272572102,12019.196595372119,0.78682724978015683,0,4,0,0,0,booster entry burn
468.90024301269409,-4777834.530502772,-2987369.2541601257,2993525.8964289664,346.99714822258665,-174.58265273263817,-95.16967890469985,7283.8776325773233,399.92923285575961,12759.908445373905,2991.6887826600864,0,0,0,-0.5463426372034641,-0.73418298745531385,0.40309436079503075,27754.219395725613,0.42928941858017933,12009.905265711375,0.7862420412456258,0,4,0,0,0,booster entry burn
468.91696023490016,-4777828.7305128397,-2987372.1725146375,2993524.3072610614,346.89994824916414,-174.56202182736993,-94.951711786746358,7280.1559167117857,399.78406813049128,12759.908445373905,2991.6887826600864,0,0,0,-0.54601014863860708,-0.73484600475328443,0.40233601240975436,27769.845427820423,0.42948511842431997,12002.588477915126,0.78578133178558141,0,4,0,0,0,booster entry burn
468.93070972880884,-4777823.9611261804,-2987374.5726429103,2993523.0030857287,346.85798428118176,-174.5621772727942,-94.752089294628959,7277.0969080764053,399.70035454014834,12759.908445373905,2991.6887826600864,0,0,0,-0.54588898749092074,-0.73532295678724391,0.40162838863531852,27782.694384719693,0.42964602258504098,11996.576246446386,0.78540282398301398,0,4,0,0,0,booster entry burn
468.94386781242332,-4777819.3971282458,-2987376.8697107588,2993521.7576632835,346.86384808553851,-174.58992610118113,-94.548941450345751,7274.1709965960335,399.66945559312427,12759.908445373905,2991.6887826600864,0,0,0,-0.54594971471736187,-0.73564282614302023,0.40095952581818201,27794.988826983503,0.42979996944792881,11990.828390023233,0.78504096890103192,0,4,0,0,0,booster entry burn
468.95573647450578,-4777815.2800558973,-2987378.9421856678,2993520.6365707535,346.91131724800186,-174.64772788864121,-94.3682982811724,7271.5328856846581,399.69321561904576,12759.908445373905,2991.6887826600864,0,0,0,-0.54620249024448908,-0.73583205404994156,0.40026744544537085,27806.077764981488,0.42993881028027242,11985.649740905752,0.78471491001182803,0,4,0,0,0,booster entry burn
