# post2-lite aero table v1
# reference_area_m2,21.2372
mach,alpha_deg,cd,cl
3.500000,10.000000,0.219390,0.484045
3.500000,15.000000,0.356252,0.819529
3.500000,20.000000,0.573123,1.188688
4.000000,0.000000,0.116257,0.000000
4.000000,2.000000,0.118864,0.072631
4.000000,4.000000,0.127627,0.158536
4.000000,6.000000,0.143896,0.256880
4.000000,8.000000,0.168932,0.366672
4.000000,10.000000,0.203883,0.486779
4.000000,15.000000,0.341042,0.823604
4.000000,20.000000,0.558325,1.194074
5.000000,0.000000,0.094321,0.000000
5.000000,2.000000,0.096942,0.073396
5.000000,4.000000,0.105745,0.160067
5.000000,6.000000,0.122081,0.259173
5.000000,8.000000,0.147210,0.369725
5.000000,10.000000,0.182280,0.490589
5.000000,15.000000,0.319854,0.829282
5.000000,20.000000,0.537713,1.201576
6.000000,0.000000,0.080554,0.000000
6.000000,2.000000,0.083183,0.073877
6.000000,4.000000,0.092011,0.161027
6.000000,6.000000,0.108390,0.260612
6.000000,8.000000,0.133577,0.371641
6.000000,10.000000,0.168723,0.492979
6.000000,15.000000,0.306556,0.832845
6.000000,20.000000,0.524776,1.206285
8.000000,0.000000,0.062302,0.000000
8.000000,2.000000,0.064942,0.074514
8.000000,4.000000,0.073803,0.162300
8.000000,6.000000,0.090237,0.262520
8.000000,8.000000,0.115502,0.374181
8.000000,10.000000,0.150747,0.496149
8.000000,15.000000,0.288925,0.837569
8.000000,20.000000,0.507624,1.212528
