# post2-lite aero table v1
# reference_area_m2,19.635
mach,alpha_deg,cd,cl
3.500000,10.000000,0.154476,0.466018
3.500000,15.000000,0.280838,0.772982
3.500000,20.000000,0.477480,1.103673
4.000000,0.000000,0.063100,0.000000
4.000000,2.000000,0.065699,0.073314
4.000000,4.000000,0.074273,0.157572
4.000000,6.000000,0.089932,0.251977
4.000000,8.000000,0.113698,0.355607
4.000000,10.000000,0.146493,0.467426
4.000000,15.000000,0.273008,0.775080
4.000000,20.000000,0.469863,1.106446
5.000000,0.000000,0.051672,0.000000
5.000000,2.000000,0.054278,0.073713
5.000000,4.000000,0.062873,0.158369
5.000000,6.000000,0.078566,0.253171
5.000000,8.000000,0.102381,0.357198
5.000000,10.000000,0.135239,0.469410
5.000000,15.000000,0.261969,0.778037
5.000000,20.000000,0.459124,1.110355
6.000000,0.000000,0.044607,0.000000
6.000000,2.000000,0.047217,0.073960
6.000000,4.000000,0.055824,0.158862
6.000000,6.000000,0.071540,0.253910
6.000000,8.000000,0.095384,0.358181
6.000000,10.000000,0.128281,0.470637
6.000000,15.000000,0.255145,0.779866
6.000000,20.000000,0.452485,1.112771
8.000000,0.000000,0.034935,0.000000
8.000000,2.000000,0.037551,0.074297
8.000000,4.000000,0.046176,0.159537
8.000000,6.000000,0.061921,0.254921
8.000000,8.000000,0.085807,0.359527
8.000000,10.000000,0.118756,0.472317
8.000000,15.000000,0.245803,0.782369
8.000000,20.000000,0.443397,1.116079
