time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,altitude_m,speed_mps,total_mass_kg,propellant_mass_kg,engine_thrust_n,engine_mass_flow_kgps,throttle,engine_direction_eci_x,engine_direction_eci_y,engine_direction_eci_z,ambient_pressure_pa,atmosphere_density_kgpm3,dynamic_pressure_pa,mach_number,hold_down_clamp_active,phase_index,rigid_body_attitude_rad,rigid_body_angular_velocity_radps,rigid_body_moment_of_inertia_kgm2,phase_name
0,-5270561.632145809,-1903845.864079216,3035937.2525076112,138.83062232380303,-384.33539457809599,0,144.89578654434186,408.64120842166074,516140.81981611188,499914.62419306143,0,0,0,1,0,0,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
1,-5270422.7875105198,-1904230.1944116096,3035937.2525076112,138.85864813210546,-384.32526986816691,0,144.89578654434186,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82696092837310653,-0.29871695904962947,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.05,-5270415.8445430808,-1904249.4106624476,3035937.2525076112,138.8600494031395,-384.32476357902419,0,144.89578654434186,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.8269391433914457,-0.29877726119400427,0.4763442046676245,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
1.1000000000000001,-5270408.9015055802,-1904268.6268879664,3035937.2525076112,138.86145067232721,-384.32425728477256,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82693805402693399,-0.29878027625952142,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.1500000000000001,-5270401.9583980143,-1904287.8430881752,3035937.2525076112,138.86285193966927,-384.32375098541166,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82693696465142941,-0.2987832913210659,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.2000000000000002,-5270395.015220386,-1904307.0592630641,3035937.2525076112,138.864253205165,-384.32324468094174,0,144.89578654434186,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.8269358752649314,-0.29878630637863912,0.4763442046676245,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
1.2500000000000002,-5270388.0719726933,-1904326.2754126419,3035937.2525076112,138.86565446881502,-384.32273837136262,0,144.89578654363791,408.64120842166074,516140.81981611188,499914.62419306143,0,0,1,-0.82693478586744074,-0.29878932143223974,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
1.3000000000000003,-5270381.1286549382,-1904345.4915369046,3035937.2525076112,138.86705573061903,-384.32223205667447,0,144.89578654434186,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82693369645895665,-0.29879233648186893,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.3500000000000003,-5270374.1852671206,-1904364.7076358469,3035937.2525076112,138.86845699057662,-384.32172573687728,0,144.89578654434186,408.64120842166068,516140.81981611188,499914.62419306143,0,0,1,-0.82693260703947957,-0.29879535152752607,0.4763442046676245,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
1.4000000000000004,-5270367.2418092396,-1904383.9237094773,3035937.2525076112,138.86985824868847,-384.32121941197101,0,144.89578654574976,408.64120842166074,516140.81981611188,499914.62419306143,0,0,1,-0.82693151760900974,-0.29879836656921049,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.4500000000000004,-5270360.2982812971,-1904403.1397577869,3035937.2525076112,138.87125950495388,-384.32071308195577,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82693042816754669,-0.29880138160692343,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.5000000000000004,-5270353.3546832902,-1904422.3557807845,3035937.2525076112,138.87266075937353,-384.32020674683139,0,144.89578654574976,408.64120842166085,516140.81981611188,499914.62419306143,0,0,1,-0.82692933871509089,-0.29880439664066344,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.5500000000000005,-5270346.41101522,-1904441.5717784653,3035937.2525076112,138.87406201194702,-384.31970040659786,0,144.89578654574976,408.64120842166085,516140.81981611188,499914.62419306143,0,0,1,-0.82692824925164177,-0.2988074116704319,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.6000000000000005,-5270339.4672770891,-1904460.7877508241,3035937.2525076112,138.87546326267403,-384.31919406125542,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82692715977719977,-0.2988104266962282,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.6500000000000006,-5270332.523468893,-1904480.0036978703,3035937.2525076112,138.8768645115552,-384.31868771080377,0,144.89578654363791,408.64120842166074,516140.81981611188,499914.62419306143,0,0,1,-0.82692607029176501,-0.29881344171805135,0.4763442046676245,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
1.7000000000000006,-5270325.5795906372,-1904499.2196195943,3035937.2525076112,138.87826575858983,-384.31818135524327,0,144.89578654434186,408.64120842166074,516140.81981611188,499914.62419306143,0,0,1,-0.82692498079533705,-0.29881645673590301,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
1.7500000000000007,-5270318.6356423181,-1904518.4355160049,3035937.2525076112,138.87966700377859,-384.31767499457368,0,144.89578654434186,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82692389128791643,-0.29881947174978152,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.8000000000000007,-5270311.6916239364,-1904537.6513870973,3035937.2525076112,138.88106824712114,-384.31716862879506,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82692280176950272,-0.29882248675968831,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.8500000000000008,-5270304.7475354942,-1904556.8672328668,3035937.2525076112,138.88246948861709,-384.31666225790752,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82692171224009603,-0.29882550176562256,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.9000000000000008,-5270297.8033769885,-1904576.083053322,3035937.2525076112,138.88387072826711,-384.3161558819109,0,144.89578654574976,408.64120842166085,516140.81981611188,499914.62419306143,0,0,1,-0.82692062269969679,-0.29882851676758365,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
1.9500000000000008,-5270290.8591484213,-1904595.2988484539,3035937.2525076112,138.88527196607052,-384.31564950080531,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82691953314830446,-0.29883153176557292,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.0000000000000009,-5270283.9148497917,-1904614.5146182713,3035937.2525076112,138.88667320202796,-384.31514311459068,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82691844358591948,-0.29883454675958893,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.0500000000000007,-5270276.9704810996,-1904633.730362769,3035937.2525076112,138.88807443613905,-384.31463672326697,0,144.89578654434186,408.64120842166074,516140.81981611188,499914.62419306143,0,0,1,-0.82691735401254129,-0.29883756174963294,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.1000000000000005,-5270270.0260423478,-1904652.9460819424,3035937.2525076112,138.88947566840349,-384.31413032683452,0,144.89578654434186,408.64120842166074,516140.81981611188,499914.62419306143,0,0,1,-0.82691626442817046,-0.29884057673570436,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.1500000000000004,-5270263.0815335335,-1904672.1617758009,3035937.2525076112,138.89087689882192,-384.31362392529297,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82691517483280697,-0.29884359171780228,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.2000000000000002,-5270256.1369546587,-1904691.3774443341,3035937.2525076112,138.89227812739361,-384.31311751864251,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82691408522645049,-0.29884660669592822,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.25,-5270249.1923057204,-1904710.5930875516,3035937.2525076112,138.89367935411926,-384.31261110688297,0,144.89578654434186,408.64120842166068,516140.81981611188,499914.62419306143,0,0,1,-0.82691299560910148,-0.29884962167008061,0.4763442046676245,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.2999999999999998,-5270242.2475867216,-1904729.8087054482,3035937.2525076112,138.89508057899846,-384.31210469001456,0,144.89578654434186,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82691190598075948,-0.29885263664026102,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.3499999999999996,-5270235.302797663,-1904749.0242980197,3035937.2525076112,138.89648180203093,-384.3115982680373,0,144.89578654434186,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82691081634142471,-0.29885565160646838,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.3999999999999995,-5270228.3579385411,-1904768.2398652742,3035937.2525076112,138.89788302321725,-384.31109184095089,0,144.89578654363791,408.64120842166068,516140.81981611188,499914.62419306143,0,0,1,-0.82690972669109752,-0.29885866656870225,0.47634420466762456,75532.924546371214,0.96567197136447691,0,0,1,0,0,0,0,pad hold (ignition)
2.4499999999999993,-5270221.4130093614,-1904787.4554072027,3035937.2525076112,138.89928424255677,-384.31058540875586,0,144.89578654574976,408.64120842166079,516140.81981611188,499914.62419306143,0,0,1,-0.82690863702977735,-0.29886168152696391,0.47634420466762462,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.4999999999999991,-5270214.4680101182,-1904806.6709238139,3035937.2525076112,138.90068546005014,-384.31007897145167,0,144.89578654434186,408.64120842166079,516118.70479599957,499892.50917294913,1353295.4168308249,442.3004022465401,1,-0.82690754735746463,-0.29886469648125175,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.5499999999999989,-5270207.5229408145,-1904825.8864151035,3035937.2525076112,138.90208667569701,-384.30957252903858,0,144.89578654574976,408.64120842166079,516078.02516698948,499851.82954393903,2489328.7556642625,813.59258020144614,1,-0.82690645767415905,-0.29886771143156732,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.5999999999999988,-5270200.5778014502,-1904845.1018810659,3035937.2525076112,138.903487889497,-384.30906608151662,0,144.89578654363791,408.64120842166074,516021.76134670235,499795.5657236519,3442979.9177758773,1125.2764057423824,1,-0.82690536797986069,-0.29887072637790979,0.4763442046676245,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.6499999999999986,-5270193.6325920261,-1904864.3173217105,3035937.2525076112,138.90488910145078,-384.3085596288858,0,144.89578654574976,408.64120842166079,515952.41526763473,499726.21964458429,4243529.0811751857,1386.9215813529263,1,-0.82690427827457003,-0.2988737413202785,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.6999999999999984,-5270186.6873125406,-1904883.5327370279,3035937.2525076112,138.90629031155768,-384.30805317114607,0,144.89578654434186,408.64120842166074,515872.08719458623,499645.89157153579,4915555.6968616508,1606.5614609695895,1,-0.82690318855828648,-0.29887675625867471,0.4763442046676245,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.7499999999999982,-5270179.7419629944,-1904902.7481270267,3035937.2525076112,138.90769151981831,-384.30754670829737,0,144.89578654434186,408.64120842166074,515782.54020958848,499556.34458653803,5479693.1575434245,1790.9396999547012,1,-0.82690209883101051,-0.29887977119309711,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.799999999999998,-5270172.7965433868,-1904921.9634917022,3035937.2525076112,138.90909272623236,-384.30704024033975,0,144.89578654363791,408.64120842166068,515685.2543442311,499459.05872118066,5953262.3095916528,1945.717307147816,1,-0.82690100909274167,-0.29888278612354691,0.47634420466762456,75532.924546371214,0.96567197136447691,0,0,1,0,0,0,0,pad hold (ignition)
2.8499999999999979,-5270165.8510537222,-1904941.1788310497,3035937.2525076112,138.91049393079945,-384.30653376727349,0,144.89578654434186,408.64120842166074,515581.47202142293,499355.27639837249,6350803.2590982579,2075.646456163935,1,-0.82689991934348017,-0.29888580105002355,0.47634420466762462,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.8999999999999977,-5270158.9054939942,-1904960.394145078,3035937.2525076112,138.91189513352023,-384.3060272890981,0,144.89578654363791,408.64120842166068,515472.23620179755,499246.04057874711,6684521.8002048358,2184.7163925080849,1,-0.82689882958322647,-0.29888881597252603,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
2.9499999999999975,-5270151.9598642094,-1904979.6094337776,3035937.2525076112,138.913296334394,-384.30552080581413,0,144.89578654434186,408.64120842166079,515358.42240598123,499132.22678293078,6964664.1724976087,2276.2759163270316,1,-0.82689773981197978,-0.29889183089105598,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
2.9999999999999973,-5270145.0141643612,-1904998.8246971574,3035937.2525076112,138.91469753342145,-384.30501431742101,0,144.89578654363791,408.64120842166068,515240.76559591049,499014.56997286004,7199831.6537337191,2353.1362014151323,1,-0.826896650029741,-0.29889484580561176,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
3.0499999999999972,-5270138.0683944551,-1905018.039935213,3035937.2525076112,138.91609873060222,-384.30450782391921,0,144.89578654574976,408.64120842166079,515119.88274054293,498893.68711749249,7397244.646913982,2417.6571073506611,1,-0.82689556023650912,-0.29889786071619479,0.47634420466762456,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
3.099999999999997,-5270131.1225544894,-1905037.2551479388,3035937.2525076112,138.91749992593589,-384.3040013253086,0,144.89578654434186,408.64120842166079,514996.29175880173,498770.09613575129,7562964.3700302178,2471.8196348246302,1,-0.82689447043228503,-0.29890087562280443,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
3.1499999999999968,-5270124.1766444631,-1905056.4703353446,3035937.2525076112,138.91890111942323,-384.30349482158908,0,144.89578654574976,408.64120842166085,514870.42742136295,498644.23179831251,7702078.9550800715,2517.2867487752592,1,-0.82689338061706852,-0.29890389052543981,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
3.1999999999999966,-5270117.230664378,-1905075.6854974199,3035937.2525076112,138.92030231106341,-384.30298831276082,0,144.89578654574976,408.64120842166079,514742.65469952318,498516.45907647273,7818859.6701915655,2555.454436795228,1,-0.82689229079085935,-0.29890690542410242,0.4763442046676245,75532.924546353534,0.96567197136429372,0,0,1,0,0,0,0,pad hold (ignition)
3.2499999999999964,-5270110.2846142314,-1905094.9006341747,3035937.2525076112,138.92170350085721,-384.30248179882352,0,144.89578654434186,408.64120842166074,514613.27997099969,498387.08434794925,7916892.0613823589,2587.4945704701195,1,-0.82689120095365787,-0.29890992031879066,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
3.2999999999999963,-5270103.3384940261,-1905114.1157456036,3035937.2525076112,138.92310468880422,-384.30197527977754,0,144.89578654434186,408.64120842166079,514482.56042671821,498256.36480366776,7999186.0404302645,2614.3908856298917,1,-0.82689011110546362,-0.29891293520950601,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
3.3499999999999961,-5270096.392303763,-1905133.3308317014,3035937.2525076112,138.92450587490404,-384.30146875562281,0,144.89578654434186,408.64120842166074,514350.71196740703,498124.51634435658,8068268.2989090607,2636.9691862235832,1,-0.82688902124627695,-0.29891595009624772,0.47634420466762456,75532.924546362381,0.96567197136438532,0,0,1,0,0,0,0,pad hold (ignition)
3.3503207962678201,-5270096.3477376308,-1905133.4541142976,3035937.2525078012,138.92268092627239,-384.30212847231809,0.0010473447772721516,144.89578694559199,408.6412084276302,514349.85994264553,498123.66431959509,8126539.7090485701,2656.0141543980376,0.99360957693779062,-0.82688793137609806,-0.29891896497901493,0.47634420466762456,75532.924542563997,0.96567197132506333,2.3657931197525075e-06,6.6891542692109708e-06,0,1,0,0,0,tower clearance vertical ascent
3.3506285298161087,-5270096.3049866958,-1905133.5723770401,3035937.2525082575,138.92115690072143,-384.30267940573037,0.0019206197873363722,144.89578791140815,408.64120844176648,514349.04258449899,498122.84696144855,8126807.8428948205,2656.1017891499014,0.99360957693779062,-0.82688792438353698,-0.29891898432226488,0.47634420466762434,75532.924533433863,0.9656719712305456,7.9686411109239695e-06,1.2276511179767375e-05,0,1,0,0,0,tower clearance vertical ascent
3.3521671975575527,-5270096.0912390565,-1905134.1636932956,3035937.2525145728,138.9135346914384,-384.30543482584204,0.0062881940476427669,144.89580127515001,408.64120863746768,514344.95539004164,498118.75976699119,8128144.1886940934,2656.5385498728065,0.99360957693779062,-0.82688791767571046,-0.29891900287786399,0.47634420466762384,75532.924406968043,0.96567196992133209,8.5533867104068095e-05,4.0220909226961886e-05,0,1,0,0,0,tower clearance vertical ascent
3.359860536264772,-5270095.022676927,-1905137.1203382206,3035937.2526470358,138.8753721526528,-384.31923055536311,0.028155731168425364,144.89608169339292,408.64121275019409,514324.5094361091,498098.31381305866,8134719.0256241066,2658.6874177272912,0.99360957693779062,-0.82688788413657421,-0.29891909565585806,0.4763442046676159,75532.921753374379,0.96567194245051335,0.0017155830238654243,0.00018013110280952133,0,1,0,0,0,tower clearance vertical ascent
