# post2-lite aero table v1
# reference_area_m2,10.1788
mach,alpha_deg,cd,cl
3.500000,10.000000,0.148261,0.486140
3.500000,15.000000,0.282324,0.815677
3.500000,20.000000,0.493306,1.175267
4.000000,0.000000,0.054930,0.000000
4.000000,2.000000,0.057560,0.074356
4.000000,4.000000,0.066334,0.161158
4.000000,6.000000,0.082516,0.259583
4.000000,8.000000,0.107282,0.368663
4.000000,10.000000,0.141701,0.487297
4.000000,15.000000,0.275890,0.817401
4.000000,20.000000,0.487047,1.177545
5.000000,0.000000,0.045408,0.000000
5.000000,2.000000,0.048044,0.074688
5.000000,4.000000,0.056834,0.161822
5.000000,6.000000,0.073046,0.260578
5.000000,8.000000,0.097852,0.369988
5.000000,10.000000,0.132323,0.488951
5.000000,15.000000,0.266692,0.819865
5.000000,20.000000,0.478099,1.180802
6.000000,0.000000,0.039613,0.000000
6.000000,2.000000,0.042252,0.074890
6.000000,4.000000,0.051054,0.162227
6.000000,6.000000,0.067283,0.261184
6.000000,8.000000,0.092114,0.370795
6.000000,10.000000,0.126617,0.489957
6.000000,15.000000,0.261094,0.821365
6.000000,20.000000,0.472653,1.182784
8.000000,0.000000,0.031400,0.000000
8.000000,2.000000,0.034045,0.075177
8.000000,4.000000,0.042861,0.162800
8.000000,6.000000,0.059115,0.262043
8.000000,8.000000,0.083981,0.371938
8.000000,10.000000,0.118529,0.491383
8.000000,15.000000,0.253162,0.823491
8.000000,20.000000,0.464936,1.185592
