# post2-lite aero table v1
# reference_area_m2,21.2372
mach,alpha_deg,cd,cl
3.500000,10.000000,0.210982,0.601315
3.500000,15.000000,0.394148,1.071628
3.500000,20.000000,0.697502,1.614166
4.000000,0.000000,0.092422,0.000000
4.000000,2.000000,0.095205,0.078066
4.000000,4.000000,0.105134,0.178555
4.000000,6.000000,0.124511,0.300463
4.000000,8.000000,0.155523,0.442522
4.000000,10.000000,0.200211,0.603214
4.000000,15.000000,0.383583,1.074459
4.000000,20.000000,0.687224,1.617907
5.000000,0.000000,0.076665,0.000000
5.000000,2.000000,0.079457,0.078616
5.000000,4.000000,0.089415,0.179654
5.000000,6.000000,0.108841,0.302110
5.000000,8.000000,0.139919,0.444715
5.000000,10.000000,0.184693,0.605950
5.000000,15.000000,0.368363,1.078537
5.000000,20.000000,0.672417,1.623297
6.000000,0.000000,0.067109,0.000000
6.000000,2.000000,0.069907,0.078949
6.000000,4.000000,0.079882,0.180321
6.000000,6.000000,0.099337,0.303109
6.000000,8.000000,0.130456,0.446045
6.000000,10.000000,0.175283,0.607610
6.000000,15.000000,0.359132,1.081010
6.000000,20.000000,0.663437,1.626565
8.000000,0.000000,0.053323,0.000000
8.000000,2.000000,0.056129,0.079430
8.000000,4.000000,0.066130,0.181283
8.000000,6.000000,0.085626,0.304550
8.000000,8.000000,0.116804,0.447964
8.000000,10.000000,0.161706,0.610004
8.000000,15.000000,0.345816,1.084578
8.000000,20.000000,0.650483,1.631280
