# post2-lite aero table v1
# reference_area_m2,21.2372
mach,alpha_deg,cd,cl
0.000000,0.000000,0.041308,0.000000
0.000000,2.000000,0.043885,0.073091
0.000000,4.000000,0.052259,0.155170
0.000000,6.000000,0.067336,0.245476
0.000000,8.000000,0.089940,0.343144
0.000000,10.000000,0.120802,0.447218
0.000000,15.000000,0.237951,0.728443
0.000000,20.000000,0.417061,1.025088
0.200000,0.000000,0.035083,0.000000
0.200000,2.000000,0.037715,0.074746
0.200000,4.000000,0.046250,0.158467
0.200000,6.000000,0.061594,0.250390
0.200000,8.000000,0.084567,0.349638
0.200000,10.000000,0.115896,0.455244
0.200000,15.000000,0.234607,0.740013
0.200000,20.000000,0.415745,1.039673
0.400000,0.000000,0.032587,0.000000
0.400000,2.000000,0.035392,0.079746
0.400000,4.000000,0.044444,0.168425
0.400000,6.000000,0.060643,0.265222
0.400000,8.000000,0.084798,0.369221
0.400000,10.000000,0.117623,0.479413
0.400000,15.000000,0.241315,0.774692
0.400000,20.000000,0.428892,1.083091
0.600000,0.000000,0.031250,0.000000
0.600000,2.000000,0.034443,0.090871
0.600000,4.000000,0.044653,0.190580
0.600000,6.000000,0.062767,0.298220
0.600000,8.000000,0.089570,0.412782
0.600000,10.000000,0.125745,0.533171
0.600000,15.000000,0.260588,0.851786
0.600000,20.000000,0.462571,1.179534
0.700000,0.000000,0.030731,0.000000
0.700000,2.000000,0.034290,0.101366
0.700000,4.000000,0.045594,0.211481
0.700000,6.000000,0.065516,0.329348
0.700000,8.000000,0.094821,0.453874
0.700000,10.000000,0.134159,0.583879
0.700000,15.000000,0.279534,0.924500
0.700000,20.000000,0.495122,1.270484
0.800000,0.000000,0.030258,0.000000
0.800000,2.000000,0.033886,0.103355
0.800000,4.000000,0.045397,0.215441
0.800000,6.000000,0.065661,0.335247
0.800000,8.000000,0.095438,0.461662
0.800000,10.000000,0.135373,0.593490
0.800000,15.000000,0.282739,0.938286
0.800000,20.000000,0.500897,1.287735
0.850000,0.000000,0.092627,0.000000
0.850000,2.000000,0.096217,0.101178
0.850000,4.000000,0.107614,0.211091
0.850000,6.000000,0.127688,0.328728
0.850000,8.000000,0.157200,0.452982
0.850000,10.000000,0.196795,0.582660
0.850000,15.000000,0.342983,0.922144
0.850000,20.000000,0.559505,1.266403
0.900000,0.000000,0.152611,0.000000
0.900000,2.000000,0.156164,0.099084
0.900000,4.000000,0.167452,0.206907
0.900000,6.000000,0.187343,0.322458
0.900000,8.000000,0.216600,0.444634
0.900000,10.000000,0.255867,0.572244
