# post2-lite aero table v1
# reference_area_m2,10.5209
mach,alpha_deg,cd,cl
0.000000,0.000000,0.085736,0.000000
0.000000,2.000000,0.088463,0.076591
0.000000,4.000000,0.097988,0.172210
0.000000,6.000000,0.116259,0.285914
0.000000,8.000000,0.145119,0.416537
0.000000,10.000000,0.186279,0.562704
0.000000,15.000000,0.352795,0.985390
0.000000,20.000000,0.624797,1.465941
0.200000,0.000000,0.072986,0.000000
0.200000,2.000000,0.075771,0.078474
0.200000,4.000000,0.085469,0.175962
0.200000,6.000000,0.104027,0.291510
0.200000,8.000000,0.133284,0.423940
0.200000,10.000000,0.174947,0.571863
0.200000,15.000000,0.343148,0.998649
0.200000,20.000000,0.617350,1.482757
0.400000,0.000000,0.067843,0.000000
0.400000,2.000000,0.070803,0.083566
0.400000,4.000000,0.081023,0.186104
0.400000,6.000000,0.100444,0.306619
0.400000,8.000000,0.130895,0.443890
0.400000,10.000000,0.174068,0.596492
0.400000,15.000000,0.347300,1.034014
0.400000,20.000000,0.628009,1.527081
0.600000,0.000000,0.065073,0.000000
0.600000,2.000000,0.068421,0.094741
0.600000,4.000000,0.079802,0.208360
0.600000,6.000000,0.101143,0.339767
0.600000,8.000000,0.134248,0.487651
0.600000,10.000000,0.180777,0.650498
0.600000,15.000000,0.365189,1.111479
0.600000,20.000000,0.660342,1.624014
0.700000,0.000000,0.063992,0.000000
0.700000,2.000000,0.067707,0.105255
0.700000,4.000000,0.080183,0.229299
0.700000,6.000000,0.103334,0.370954
0.700000,8.000000,0.138942,0.528821
0.700000,10.000000,0.188638,0.701304
0.700000,15.000000,0.383592,1.184338
0.700000,20.000000,0.692365,1.715156
0.800000,0.000000,0.063006,0.000000
0.800000,2.000000,0.066790,0.107262
0.800000,4.000000,0.079473,0.233296
0.800000,6.000000,0.102968,0.376906
0.800000,8.000000,0.139051,0.536681
0.800000,10.000000,0.189347,0.711004
0.800000,15.000000,0.386301,1.198257
0.800000,20.000000,0.697658,1.732582
0.850000,0.000000,0.107054,0.000000
0.850000,2.000000,0.110811,0.105724
0.850000,4.000000,0.123414,0.230223
0.850000,6.000000,0.146774,0.372302
0.850000,8.000000,0.182670,0.530551
0.850000,10.000000,0.232726,0.703355
0.850000,15.000000,0.428847,1.186857
0.850000,20.000000,0.739049,1.717517
0.900000,0.000000,0.149431,0.000000
0.900000,2.000000,0.153162,0.104246
0.900000,4.000000,0.165688,0.227267
0.900000,6.000000,0.188919,0.367873
0.900000,8.000000,0.224634,0.524653
0.900000,10.000000,0.274459,0.695997
0.900000,15.000000,0.469780,1.175889
0.900000,20.000000,0.778870,1.703023
0.950000,0.000000,0.188516,0.000000
0.950000,2.000000,0.192224,0.102881
0.950000,4.000000,0.204678,0.224541
0.950000,6.000000,0.227790,0.363787
0.950000,8.000000,0.263339,0.519213
0.950000,10.000000,0.312950,0.689209
0.950000,15.000000,0.507534,1.165773
0.950000,20.000000,0.815599,1.689655
1.000000,0.000000,0.222817,0.000000
1.000000,2.000000,0.225460,0.071807
1.000000,4.000000,0.234734,0.162648
1.000000,6.000000,0.252589,0.271585
1.000000,8.000000,0.280865,0.397459
1.000000,10.000000,0.321276,0.538900
1.000000,15.000000,0.485205,0.949911
1.000000,20.000000,0.753611,1.419057
1.050000,0.000000,0.250938,0.000000
1.050000,2.000000,0.253564,0.070826
1.050000,4.000000,0.262787,0.160686
1.050000,6.000000,0.280556,0.268645
1.050000,8.000000,0.308713,0.393545
1.050000,10.000000,0.348971,0.534017
1.050000,15.000000,0.512368,0.942633
1.050000,20.000000,0.780036,1.409438
1.100000,0.000000,0.271891,0.000000
1.100000,2.000000,0.274504,0.070094
1.100000,4.000000,0.283689,0.159224
1.100000,6.000000,0.301394,0.266455
1.100000,8.000000,0.329462,0.390629
1.100000,10.000000,0.369605,0.530378
1.100000,15.000000,0.532607,0.937209
1.100000,20.000000,0.799726,1.402272
1.200000,0.000000,0.289405,0.000000
1.200000,2.000000,0.292008,0.069483
1.200000,4.000000,0.301160,0.158003
1.200000,6.000000,0.318812,0.264624
1.200000,8.000000,0.346806,0.388192
1.200000,10.000000,0.386853,0.527337
1.200000,15.000000,0.549524,0.932677
1.200000,20.000000,0.816183,1.396282
1.300000,0.000000,0.241851,0.000000
1.300000,2.000000,0.244483,0.071143
1.300000,4.000000,0.253723,0.161320
1.300000,6.000000,0.271519,0.269595
1.300000,8.000000,0.299715,0.394810
1.300000,10.000000,0.340022,0.535595
1.300000,15.000000,0.503591,0.944984
1.300000,20.000000,0.771498,1.412546
1.500000,0.000000,0.191748,0.000000
1.500000,2.000000,0.194410,0.072891
1.500000,4.000000,0.203741,0.164815
1.500000,6.000000,0.221690,0.274832
1.500000,8.000000,0.250099,0.401783
1.500000,10.000000,0.290680,0.544295
1.500000,15.000000,0.455194,0.957952
1.500000,20.000000,0.724415,1.429683
1.750000,0.000000,0.158247,0.000000
1.750000,2.000000,0.160930,0.074060
1.750000,4.000000,0.170322,0.167152
1.750000,6.000000,0.188373,0.278334
1.750000,8.000000,0.216924,0.406445
1.750000,10.000000,0.257688,0.550112
1.750000,15.000000,0.422835,0.966623
1.750000,20.000000,0.692935,1.441141
2.000000,0.000000,0.137128,0.000000
2.000000,2.000000,0.139823,0.074797
2.000000,4.000000,0.149254,0.168625
2.000000,6.000000,0.167369,0.280542
2.000000,8.000000,0.196011,0.409384
2.000000,10.000000,0.236890,0.553780
2.000000,15.000000,0.402436,0.972089
2.000000,20.000000,0.673090,1.448364
2.500000,0.000000,0.110549,0.000000
2.500000,2.000000,0.113260,0.075725
2.500000,4.000000,0.122740,0.170479
2.500000,6.000000,0.140936,0.283320
2.500000,8.000000,0.169690,0.413084
2.500000,10.000000,0.210714,0.558395
2.500000,15.000000,0.376762,0.978968
2.500000,20.000000,0.648113,1.457454
3.000000,0.000000,0.093779,0.000000
3.000000,2.000000,0.096501,0.076310
3.000000,4.000000,0.106010,0.171649
3.000000,6.000000,0.124258,0.285073
3.000000,8.000000,0.153083,0.415417
3.000000,10.000000,0.194199,0.561307
3.000000,15.000000,0.360563,0.983308
3.000000,20.000000,0.632355,1.463190
3.500000,0.000000,0.082388,0.000000
3.500000,2.000000,0.085117,0.076708
3.500000,4.000000,0.094648,0.172443
3.500000,6.000000,0.112929,0.286264
3.500000,8.000000,0.141804,0.417003
3.500000,10.000000,0.182981,0.563285
3.500000,15.000000,0.349561,0.986256
3.500000,20.000000,0.621651,1.467086
4.000000,0.000000,0.073915,0.000000
4.000000,2.000000,0.076649,0.077004
4.000000,4.000000,0.086195,0.173034
4.000000,6.000000,0.104503,0.287149
4.000000,8.000000,0.133413,0.418182
4.000000,10.000000,0.174637,0.564757
4.000000,15.000000,0.341377,0.988449
4.000000,20.000000,0.613689,1.469984
5.000000,0.000000,0.061621,0.000000
5.000000,2.000000,0.064363,0.077433
5.000000,4.000000,0.073931,0.173892
5.000000,6.000000,0.092276,0.288434
5.000000,8.000000,0.121239,0.419893
