# post2-lite aero table v1
# reference_area_m2,10.5209
mach,alpha_deg,cd,cl
3.500000,10.000000,0.157247,0.483490
3.500000,15.000000,0.290712,0.811014
3.500000,20.000000,0.500661,1.168254
4.000000,0.000000,0.063085,0.000000
4.000000,2.000000,0.065709,0.074029
4.000000,4.000000,0.074457,0.160420
4.000000,6.000000,0.090587,0.258352
4.000000,8.000000,0.115264,0.366860
4.000000,10.000000,0.149550,0.484847
4.000000,15.000000,0.283163,0.813036
4.000000,20.000000,0.493317,1.170927
5.000000,0.000000,0.051970,0.000000
5.000000,2.000000,0.054601,0.074417
5.000000,4.000000,0.063369,0.161196
5.000000,6.000000,0.079533,0.259514
5.000000,8.000000,0.104257,0.368407
5.000000,10.000000,0.138604,0.486777
5.000000,15.000000,0.272427,0.815913
5.000000,20.000000,0.482872,1.174729
6.000000,0.000000,0.045166,0.000000
6.000000,2.000000,0.047801,0.074654
6.000000,4.000000,0.056582,0.161670
6.000000,6.000000,0.072766,0.260225
6.000000,8.000000,0.097519,0.369354
6.000000,10.000000,0.131903,0.487958
6.000000,15.000000,0.265855,0.817674
6.000000,20.000000,0.476478,1.177056
8.000000,0.000000,0.035650,0.000000
8.000000,2.000000,0.038290,0.074986
8.000000,4.000000,0.047089,0.162334
8.000000,6.000000,0.063302,0.261220
8.000000,8.000000,0.088096,0.370678
8.000000,10.000000,0.122532,0.489611
8.000000,15.000000,0.256663,0.820137
8.000000,20.000000,0.467536,1.180311
